世代,個体No,実値,適応度, 係数0, 係数1
229,23,-2.203,-22.027,2.00,0.90
230,47,-7.287,-72.867,-0.05,4.49
231,17,-7.287,-72.867,-0.05,4.49
232,34,-10.223,-102.226,2.86,-0.60
233,69,-0.241,-2.410,1.09,1.52
234,36,-1.152,-11.525,0.10,1.42
235,18,-3.039,-30.390,0.61,3.70
236,65,-2.009,-20.087,2.41,2.15
237,97,-24.816,-248.158,-0.99,6.57
238,73,-3.678,-36.775,1.81,3.74
239,54,-1.318,-13.178,1.77,2.85
240,69,-8.236,-82.357,-1.16,0.11
241,77,-1.038,-10.375,1.94,2.38
242,96,-11.820,-118.200,-0.38,5.15
243,81,-9.926,-99.264,2.88,4.53
244,71,-0.447,-4.469,1.61,2.27
245,75,-11.204,-112.041,3.10,4.60
246,0,-16.680,-166.801,-0.67,-1.73
247,51,-1.254,-12.540,-0.02,1.54
248,84,-11.196,-111.961,1.21,-1.34
249,6,-0.019,-0.195,1.13,1.95
250,19,-8.423,-84.235,0.04,4.74
251,61,-9.495,-94.949,-1.74,0.60
252,6,-2.545,-25.454,1.21,3.58
253,93,-7.707,-77.070,-0.92,4.00
254,36,-14.724,-147.237,0.31,-1.77
255,50,-6.422,-64.222,-0.17,-0.25
256,40,-16.751,-167.514,0.05,5.98
257,1,-8.632,-86.324,1.83,-0.82
258,13,-21.685,-216.848,0.43,6.62
259,34,-17.588,-175.884,0.31,6.14
260,9,-18.756,-187.560,4.72,-0.22
261,88,-15.367,-153.666,-2.04,-0.47
262,81,-0.290,-2.900,0.49,1.81
263,99,-2.360,-23.599,2.27,2.86
264,86,-2.355,-23.555,-0.02,3.15
265,42,-4.248,-42.479,2.99,2.52
266,33,-5.373,-53.730,-0.98,3.21
267,85,-3.769,-37.695,-0.45,0.71
268,78,-7.784,-77.840,3.78,2.19
269,50,-8.819,-88.190,2.83,-0.34
270,66,-11.322,-113.221,-1.32,4.44
271,73,-9.930,-99.304,-1.85,0.65
272,23,-1.933,-19.327,2.39,2.09
273,42,-12.429,-124.286,0.68,-1.51
274,31,-1.719,-17.194,1.89,1.04
275,55,-6.473,-64.732,-0.92,0.33
276,56,-2.036,-20.364,2.19,1.21
277,81,-6.375,-63.750,3.47,2.54
278,28,-6.377,-63.767,-0.57,0.02
279,10,-10.456,-104.559,4.12,1.15
280,98,-6.633,-66.332,-0.39,-0.17
281,30,-18.028,-180.278,-2.35,4.61
282,74,-25.916,-259.164,-2.97,5.19
283,64,-7.601,-76.011,2.66,-0.20
284,62,-12.506,-125.057,0.45,5.49
285,41,-0.881,-8.809,1.66,2.67
286,70,-6.799,-67.994,-0.87,3.81
287,94,-14.759,-147.590,3.89,4.53
288,77,-12.933,-129.329,2.52,-1.26
289,45,-0.931,-9.308,0.14,2.44
290,53,-8.972,-89.715,3.40,3.80
291,16,-5.388,-53.877,2.60,0.32
292,5,-7.641,-76.414,3.50,0.83
293,53,-7.369,-73.686,-1.69,1.67
294,51,-2.736,-27.361,-0.51,2.68
295,84,-5.513,-55.135,-1.35,2.10
296,86,-11.297,-112.970,3.84,0.21
297,40,-5.391,-53.914,-0.97,3.24
298,37,-1.121,-11.205,1.66,1.17
299,4,-4.911,-49.108,3.20,2.23
300,2,-29.302,-293.018,5.27,-1.33
301,46,-1.172,-11.720,0.64,3.02
302,43,-7.003,-70.034,-0.44,-0.22
303,8,-4.103,-41.026,-0.71,0.91
304,60,-14.137,-141.366,4.27,0.15
305,43,-2.351,-23.512,-0.05,3.11
306,16,-5.298,-52.975,1.99,-0.08
307,41,-1.702,-17.018,0.41,3.17
308,17,-12.441,-124.410,3.58,4.40
309,14,-0.485,-4.854,1.70,2.03
310,63,-0.406,-4.059,0.59,2.49
311,16,-9.633,-96.330,1.71,-1.02
312,52,-3.942,-39.422,2.99,2.04
313,16,-4.563,-45.632,-0.90,2.97
314,25,-6.023,-60.234,3.01,3.41
315,62,-7.933,-79.331,-1.75,1.37
316,56,-7.664,-76.638,0.40,-0.70
317,57,-0.994,-9.943,1.69,2.72
318,40,-0.252,-2.515,1.06,1.50
319,52,-4.595,-45.949,0.76,4.13
320,83,-5.139,-51.387,-1.25,2.27
321,22,-21.050,-210.497,3.95,5.51
322,10,-21.103,-211.031,-0.07,6.47
323,23,-14.193,-141.925,0.55,-1.74
324,4,-12.034,-120.344,4.36,1.14
325,98,-18.702,-187.021,-1.28,-1.68
326,1,-0.485,-4.847,1.69,2.07
327,19,-5.166,-51.663,-0.61,0.40
328,92,-3.118,-31.177,2.75,2.23
329,29,-16.785,-167.848,-2.66,3.84
330,49,-2.615,-26.153,2.61,1.90
331,57,-11.896,-118.965,-1.51,-0.37
332,24,-2.486,-24.864,2.54,1.68
333,98,-3.293,-32.931,1.99,3.52
334,27,-24.585,-245.845,3.65,-2.19
335,52,-27.078,-270.785,-0.44,-3.00
336,36,-1.386,-13.861,2.16,2.17
337,30,-7.480,-74.798,1.42,4.70
338,49,-6.799,-67.994,0.65,4.58
339,57,-16.077,-160.774,4.94,1.28
340,61,-1.784,-17.836,-0.19,2.61
341,18,-0.457,-4.573,0.92,2.67
342,41,-0.438,-4.376,0.85,1.36
343,10,-29.631,-296.312,4.37,-2.28
344,33,-5.126,-51.258,-1.26,2.20
345,62,-1.518,-15.182,0.91,0.77
346,22,-3.193,-31.931,1.21,3.78
347,30,-0.387,-3.873,1.62,1.98
348,37,-8.781,-87.814,-1.85,2.80
349,68,-18.107,-181.068,4.89,3.72
350,70,-0.256,-2.557,0.69,1.60
351,14,-2.554,-25.538,0.12,3.33
352,7,-7.828,-78.276,-0.02,4.61
353,82,-0.995,-9.950,0.05,1.70
354,82,-1.106,-11.062,0.06,1.53
355,17,-3.273,-32.731,-0.81,2.02
356,20,-14.786,-147.857,4.83,2.34
357,9,-11.857,-118.571,-0.26,5.21
358,23,-6.920,-69.200,3.42,3.03
359,1,-13.034,-130.336,-2.59,2.34
360,89,-13.264,-132.644,2.44,-1.34
361,50,-4.939,-49.390,1.36,4.19
362,48,-5.828,-58.280,3.40,2.30
363,9,-0.039,-0.392,1.19,2.06
364,85,-4.258,-42.577,-0.52,3.39
365,91,-1.581,-15.808,0.52,0.84
366,11,-6.866,-68.660,3.23,3.38
367,46,-29.701,-297.006,-3.38,5.25
368,29,-5.710,-57.102,0.49,-0.33
369,88,-2.777,-27.774,1.46,0.40
370,78,-1.078,-10.776,-0.04,2.06
371,29,-14.154,-141.541,3.73,4.59
372,23,-5.814,-58.136,3.41,1.92
373,35,-4.972,-49.717,-1.20,2.35
374,96,-12.474,-124.744,1.40,-1.51
375,24,-10.479,-104.791,-0.23,4.99
376,74,-0.001,-0.006,0.98,2.01
377,74,-5.120,-51.198,1.67,-0.16
378,38,-2.150,-21.499,2.46,1.84
379,27,-25.316,-253.155,-3.99,2.65
380,89,-11.842,-118.420,4.04,3.61
381,5,-5.338,-53.383,2.20,3.97
382,69,-7.105,-71.045,-0.07,4.44
383,84,-30.690,-306.898,-1.64,6.87
384,74,-7.665,-76.653,3.56,3.05
385,36,-3.986,-39.862,1.37,0.04
386,72,-22.869,-228.686,-2.66,5.08
387,6,-1.289,-12.890,0.24,1.16
388,15,-9.170,-91.698,3.65,0.53
389,11,-1.035,-10.348,1.69,1.26
390,61,-1.254,-12.540,1.80,1.21
391,23,-23.899,-238.990,5.87,1.58
392,84,-4.717,-47.172,2.87,3.11
393,67,-12.300,-122.996,2.86,-0.97
394,92,-0.693,-6.932,1.29,2.78
395,49,-9.811,-98.112,0.20,5.03
396,43,-4.780,-47.799,-0.62,0.53
397,70,-0.217,-2.172,1.42,2.19
398,95,-0.907,-9.074,1.19,1.07
399,48,-0.042,-0.420,0.81,1.92
400,70,-3.442,-34.418,1.90,0.38
401,19,-1.113,-11.129,0.54,2.95
402,61,-31.524,-315.236,1.75,7.56
403,2,-9.418,-94.181,2.67,4.58
404,67,-3.587,-35.874,0.71,3.87
405,60,-14.686,-146.856,-2.75,1.21
406,18,-23.106,-231.057,-1.75,-1.94
407,60,-5.734,-57.342,2.44,3.91
408,65,-17.388,-173.876,-0.98,5.67
409,24,-11.495,-114.948,-0.37,5.10
410,73,-12.353,-123.530,-2.15,3.55
411,63,-18.701,-187.010,-2.09,5.02
412,11,-1.850,-18.497,1.66,0.81
413,48,-11.055,-110.554,-1.57,-0.11
414,93,-1.743,-17.425,1.80,3.05
415,73,-2.788,-27.882,1.05,0.33
416,23,-6.991,-69.906,3.28,0.66
417,75,-1.504,-15.042,-0.02,1.31
418,48,-0.468,-4.680,1.13,1.33
419,72,-17.111,-171.105,-2.22,4.60
420,73,-7.779,-77.786,-1.74,2.52
421,68,-2.667,-26.675,-0.49,1.32
422,3,-4.516,-45.159,-0.43,0.42
423,95,-4.171,-41.706,-0.79,1.02
424,48,-9.715,-97.153,-1.26,4.15
425,51,-2.203,-22.029,1.54,3.38
426,40,-2.611,-26.107,0.75,3.60
427,94,-5.889,-58.886,1.79,4.29
428,48,-4.160,-41.596,3.02,1.75
429,55,-26.950,-269.502,5.68,4.25
430,22,-10.659,-106.592,1.99,5.11
431,15,-22.265,-222.648,-3.47,3.51
432,81,-0.691,-6.911,1.26,1.21
433,52,-1.719,-17.190,2.27,1.66
434,20,-6.923,-69.229,3.42,3.03
435,17,-3.156,-31.555,2.67,1.40
436,27,-11.338,-113.382,-2.33,1.53
437,84,-0.496,-4.963,0.32,1.83
438,70,-5.359,-53.594,-1.01,0.85
439,32,-4.036,-40.360,2.69,3.09
440,93,-3.312,-33.125,1.43,0.23
441,29,-5.652,-56.522,-0.55,3.80
442,89,-11.026,-110.264,-0.61,-0.90
443,25,-4.847,-48.471,-0.70,3.40
444,10,-5.725,-57.255,0.22,-0.26
445,24,-1.165,-11.655,1.08,0.92
446,60,-2.116,-21.163,0.67,0.58
447,17,-10.290,-102.901,4.10,1.19
448,77,-22.995,-229.952,-3.77,1.52
449,54,-1.695,-16.951,-0.01,1.18
450,18,-23.698,-236.980,4.26,-1.62
451,23,-23.819,-238.193,5.87,1.73
452,17,-9.142,-91.420,0.88,5.02
453,66,-7.145,-71.455,1.13,4.67
454,23,-0.846,-8.461,0.57,2.82
455,27,-6.985,-69.850,-0.72,-0.01
456,4,-6.452,-64.516,3.13,0.61
457,99,-2.490,-24.905,2.12,0.89
458,43,-3.440,-34.396,-0.27,0.65
459,72,-26.988,-269.877,6.19,1.86
460,47,-8.911,-89.109,1.16,4.98
461,37,-2.661,-26.612,2.30,1.01
462,65,-10.891,-108.909,-1.07,-0.57
463,25,-3.848,-38.482,1.97,0.29
464,94,-0.240,-2.401,0.67,2.36
465,64,-9.405,-94.051,1.44,-1.03
466,56,-1.359,-13.586,0.51,3.06
467,92,-1.481,-14.815,0.25,1.04
468,88,-6.898,-68.981,3.21,3.41
469,57,-4.458,-44.582,1.98,0.13
470,1,-0.691,-6.912,1.00,2.83
471,22,-7.068,-70.680,2.09,-0.43
472,74,-13.341,-133.414,-1.58,4.59
473,48,-3.222,-32.217,2.07,3.44
474,16,-16.339,-163.385,4.72,3.58
475,56,-2.665,-26.655,-0.10,0.80
476,59,-26.016,-260.155,-1.08,-2.66
477,4,-6.331,-63.309,0.70,-0.50
478,74,-1.371,-13.714,1.22,3.15
479,33,-8.270,-82.697,3.09,0.02
480,83,-0.718,-7.177,1.02,2.85
481,69,-6.334,-63.336,0.54,-0.47
482,11,-14.097,-140.975,1.08,-1.75
483,68,-16.675,-166.752,3.31,5.37
484,26,-3.904,-39.036,2.42,3.37
485,68,-6.046,-60.459,-1.41,1.50
486,37,-9.469,-94.689,1.58,5.02
487,62,-18.755,-187.553,2.93,5.88
488,10,-2.503,-25.029,2.51,2.46
489,67,-1.229,-12.291,2.11,1.96
490,70,-8.500,-85.004,-1.70,0.90
491,87,-9.083,-90.826,0.27,-0.92
492,56,-3.267,-32.670,2.45,3.07
493,27,-1.888,-18.882,-0.18,2.70
494,50,-1.277,-12.770,0.94,0.87
495,30,-3.556,-35.558,-0.86,1.69
496,15,-19.957,-199.573,2.04,6.34
497,79,-4.794,-47.938,2.16,3.86
498,48,-3.557,-35.573,0.06,3.63
499,21,-0.755,-7.546,0.35,2.58
